trend_id,title,channel_id,category_id,publish_id,views,likes
2,2018 NBA Finals Game 2 - Warriors vs. Cavaliers Highlights,145,17,29,533770,1602
0,2018 Preakness Stakes I FULL RACE I NBC Sports,532,17,13,614232,2246
1,2018 Preakness Stakes I FULL RACE I NBC Sports,532,17,13,618595,2253
6,2018 Preakness Stakes I FULL RACE I NBC Sports,532,17,13,642263,2285
7,2018 Preakness Stakes I FULL RACE I NBC Sports,532,17,13,649426,2296
8,"2018년 6월 10일 (일) 싱가포르 생방송 '특집 뉴스룸' 다시보기 - 북·미 정상, 싱가포르 도착",377,25,35,221017,1973
9,"2018년 6월 10일 (일) 싱가포르 생방송 '특집 뉴스룸' 다시보기 - 북·미 정상, 싱가포르 도착",377,25,35,260826,2169
11,"2018년 6월 12일 (화) 싱가포르 생방송 '특집 뉴스룸' 다시보기 - 북·미 정상, 4개항 공동선언문 합의",377,25,37,84768,517
0,2018년 6월 2일 아침 뉴스,548,25,26,146818,1128
8,22 Years of Life Milestone,778,23,8,1232320,99390
9,22 Years of Life Milestone,778,23,8,1236919,99533
2,22 Years of Life Milestone,778,23,8,1177237,97418
3,22 Years of Life Milestone,778,23,8,1186031,97708
4,22 Years of Life Milestone,778,23,8,1196089,98090
5,22 Years of Life Milestone,778,23,8,1202525,98262
6,22 Years of Life Milestone,778,23,8,1210150,98492
7,22 Years of Life Milestone,778,23,8,1217755,98759
1,22 Years of Life Milestone,778,23,8,1165905,96963
0,22 Years of Life Milestone,778,23,8,1152720,96513
7,24 ASTUCES BIZARRES QUE VOUS DEVEZ ABSOLUMENT TESTER,801,26,33,226576,5954
0,24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 Digging A Secret UNDERGROUND Tunnel,582,24,7,1989746,30153
9,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1336144,30996
10,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1350457,31182
11,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1359819,31334
12,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1368300,31469
5,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1157774,28627
3,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,858773,24299
2,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,428548,17438
2,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,428548,17438
7,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1273539,30248
6,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1224994,29651
4,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1065072,27476
4,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1065072,27476
8,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,1325835,30896
3,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! 📦🚔 UNDERWATER PRISON, Scuba & More!",582,24,28,858773,24299
